alias,authoritative_name
ArmaTell_tc,Tec-Arma Tel LLC technical details
FN-Tec,Tec-FN Telecom LLC
GNH-Tec,Tec-Global Net Holdings Inc
IMC-Tec,Tec-INTERNET MOBILE COMMUNICATIONS LIMITED
QGC - Tec,Quantum Global Communications Inc-Tec
Quickcomnew-Tec,Tec-Quickcom Telecom Limited NEW
GTK TELECOM-TEC,"TEC_GESTIONES TECNICAS KASTA COSTASOL S.L.,"
382-Tec,Tec-382 Communications
AHAI-Tec,Tec-AHAI COMMUNICATIONS INC.
AMC-Tec,Tec-AMC TEL S.A.L  (OFFSHORE)
APEXTel_TEC,APEX TELECO LIMITED - Tec
BBT-Tec,Tec-BBT VOICE PRIVATE LIMITED
BRM_Tec,BRM Telecom LLC-Tec
CornwallTel-Tec,Cornwall Telecom Limited-Tec
Dial-Tec,Tec-Dial Telecommunications Ltd.
ELAM-Tec,Tec-ELAMLTD
Eklip-Tec,Tec-Eklip Telecom S.A.L Offshore
GABS-Tec,Tec-GABS Telecommunication LTD
GOMOB-Tec,GO MOBIT LIMITED-Tec
IDT-Tec,Tec-IDTexpress
MAGIK-Tec,Magik Telecom Limited-Tec
MEA-Tec,Tec-MEA SYSTEMS LTD
Manor-Tec,Tec-Manor IT Limited
OXNP_Tec,OXNP Telecom - tec
Ocean-Tec,Tec-Ocean Tel Limited
Orphy-Tec,Tec-Orphy Telecom LLC
Saif-Tec,Tec-Saif Global
Siritel-Tec,Tec-SiriTell iletisim ticaret limited sireket
Titan-Tec,Tec-Titan international wholesale inc
VAZQ-Tec,Tec-VAZQ Communications Inc.
ZAFTA-Tec,ZAFTA LINKNET LTD-Tec
Zenit-Tec,Tec-Zenit Telecommunication LLC
